Object ID,Compound,Pathways of compound,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity
10-FORMYL-THF,10-formyl-tetrahydrofolate mono-L-glutamate,,,,,,,
L-DELTA1-PYRROLINE_5-CARBOXYLATE,(<i>S</i>)-1-pyrroline-5-carboxylate,L-proline biosynthesis I (from L-glutamate) // proline to cytochrome <i>bo</i> oxidase electron transfer // proline degradation,L-proline Biosynthesis // Aerobic Respiration // Electron Transfer Chains // L-proline Degradation,Proteinogenic Amino Acid Biosynthesis // Respiration // Generation of Precursor Metabolites and Energy // Proteinogenic Amino Acid Degradation,Amino Acid Biosynthesis // Generation of Precursor Metabolites and Energy // Pathways // Amino Acid Degradation,Biosynthesis // Pathways // All Pathways and Reactions // Degradation/Utilization/Assimilation,Pathways // All Pathways and Reactions // FRAMES,All Pathways and Reactions // FRAMES // THINGS
CPD-13357,"(2<i>R</i>)-2,3-dihydroxy-3-methylbutanoate",L-valine biosynthesis // superpathway of branched chain amino acid biosynthesis,L-valine Biosynthesis // Proteinogenic Amino Acid Biosynthesis // Superpathways,Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis // Pathways,Amino Acid Biosynthesis // Biosynthesis // All Pathways and Reactions,Biosynthesis // Pathways // FRAMES,Pathways // All Pathways and Reactions // THINGS,All Pathways and Reactions // FRAMES // 
1-KETO-2-METHYLVALERATE,"(<i>R</i>)-2,3-dihydroxy-3-methylpentanoate",L-isoleucine biosynthesis I (from threonine) // superpathway of branched chain amino acid biosynthesis // superpathway of L-threonine metabolism,L-isoleucine Biosynthesis // Proteinogenic Amino Acid Biosynthesis // Superpathways // L-threonine Degradation,Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis // Pathways // Proteinogenic Amino Acid Degradation,Amino Acid Biosynthesis // Biosynthesis // All Pathways and Reactions // Amino Acid Degradation,Biosynthesis // Pathways // FRAMES // Degradation/Utilization/Assimilation,Pathways // All Pathways and Reactions // THINGS,All Pathways and Reactions // FRAMES // 
P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE,5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole,"inosine-5'-phosphate biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // superpathway of histidine, purine, and pyrimidine biosynthesis",Inosine-5'-phosphate Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Superpathways,Purine Riboucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide Biosynthesis // Pathways,Purine Nucleotide <i>De Novo</i> Biosynthesis // Nucleoside and Nucleotide Biosynthesis // All Pathways and Reactions,Purine Nucleotide Biosynthesis // Biosynthesis // FRAMES,Nucleoside and Nucleotide Biosynthesis // Pathways // THINGS,Biosynthesis // All Pathways and Reactions // 
DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR,"2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one",flavin biosynthesis I (bacteria and plants),Flavin Biosynthesis,Electron Carrier Biosynthesis // Enzyme Cofactor Biosynthesis,"Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis",Biosynthesis // Pathways,Pathways // All Pathways and Reactions
2-ACETO-2-HYDROXY-BUTYRATE,(<i>S</i>)-2-aceto-2-hydroxybutanoate,L-isoleucine biosynthesis I (from threonine) // superpathway of branched chain amino acid biosynthesis // superpathway of L-threonine metabolism,L-isoleucine Biosynthesis // Proteinogenic Amino Acid Biosynthesis // Superpathways // L-threonine Degradation,Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis // Pathways // Proteinogenic Amino Acid Degradation,Amino Acid Biosynthesis // Biosynthesis // All Pathways and Reactions // Amino Acid Degradation,Biosynthesis // Pathways // FRAMES // Degradation/Utilization/Assimilation,Pathways // All Pathways and Reactions // THINGS,All Pathways and Reactions // FRAMES // 
CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,L-tryptophan biosynthesis // superpathway of L-tryptophan biosynthesis // superpathway of aromatic amino acid biosynthesis // superpathway of chorismate metabolism,L-tryptophan Biosynthesis // Superpathways // Proteinogenic Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis // Pathways // Amino Acid Biosynthesis,Amino Acid Biosynthesis // All Pathways and Reactions // Biosynthesis,Biosynthesis // FRAMES // Pathways,Pathways // THINGS // All Pathways and Reactions,All Pathways and Reactions //  // FRAMES
3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P,3-deoxy-D-arabino-heptulosonate 7-phosphate,3-dehydroquinate biosynthesis I // chorismate biosynthesis I // superpathway of L-tyrosine biosynthesis // superpathway of L-phenylalanine biosynthesis // superpathway of L-tryptophan biosynthesis // superpathway of aromatic amino acid biosynthesis // superpathway of chorismate metabolism,3-Dehydroquinate Biosynthesis // Chorismate Biosynthesis // Superpathways // L-tyrosine Biosynthesis // L-phenylalanine Biosynthesis // L-tryptophan Biosynthesis // Proteinogenic Amino Acid Biosynthesis,Carboxylic Acid Biosynthesis // Pathways // Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis,Biosynthesis // All Pathways and Reactions // Amino Acid Biosynthesis,Pathways // FRAMES // Biosynthesis,All Pathways and Reactions // THINGS // Pathways,FRAMES //  // All Pathways and Reactions
2-DEHYDROPANTOATE,2-dehydropantoate,phosphopantothenate biosynthesis I // superpathway of coenzyme A biosynthesis I (bacteria),Phosphopantothenate Biosynthesis // Coenzyme A Biosynthesis // Superpathways // Vitamin Biosynthesis,"Coenzyme A Biosynthesis // Carrier Biosynthesis // Pathways // Cofactor, Carrier, and Vitamin Biosynthesis","Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions // Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis // FRAMES // Pathways",Biosynthesis // Pathways // THINGS // All Pathways and Reactions,Pathways // All Pathways and Reactions //  // FRAMES
