INDEX:,SPECIES:
0,10-Formyltetrahydrofolate$BIGG:M_10fthf_c
1,3-Phospho-D-glyceroylphosphate$BIGG:M_13dpg_c
2,1-hexadec-9-enoyl-sn-glycerol3-phosphate$BIGG:M_1hdec9eg3p_c
3,1-hexadecanoyl-sn-glycerol3-phosphate$BIGG:M_1hdecg3p_c
4,1-Pyrroline-5-carboxylate$BIGG:M_1pyr5c_c
5,"2,3-Dihydrodipicolinate$BIGG:M_23dhdp_c"
6,"(R)-2,3-Dihydroxy-3-methylbutanoate$BIGG:M_23dhmb_c"
7,"(R)-2,3-Dihydroxy-3-methylpentanoate$BIGG:M_23dhmp_c"
8,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate$BIGG:M_25aics_c
9,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone5#-phosphate$BIGG:M_25drapp_c"
10,"LL-2,6-Diaminoheptanedioate$BIGG:M_26dap_DASH_LL_c"
11,"meso-2,6-Diaminoheptanedioate$BIGG:M_26dap_DASH_M_c"
12,(S)-2-Aceto-2-hydroxybutanoate$BIGG:M_2ahbut_c
13,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose5-phosphate$BIGG:M_2cpr5p_c
14,2-Dehydro-3-deoxy-D-arabino-heptonate7-phosphate$BIGG:M_2dda7p_c
15,2-Dehydropantoate$BIGG:M_2dhp_c
16,2-Demethylmenaquinone8$BIGG:M_2dmmq8_c
17,2-Demethylmenaquinol8$BIGG:M_2dmmql8_c
18,2-Deoxy-D-ribose1-phosphate$BIGG:M_2dr1p_c
19,[2Fe-1S]desulfuratediron-sulfurcluster$BIGG:M_2fe1s_c
20,[2Fe-2S]iron-sulfurcluster$BIGG:M_2fe2s_c
21,2-Hydroxy-3-oxopropanoate$BIGG:M_2h3oppan_c
22,2-Methyl-4-amino-5-hydroxymethylpyrimidinediphosphate$BIGG:M_2mahmp_c
23,2-C-methyl-D-erythritol4-phosphate$BIGG:M_2me4p_c
24,"2-C-methyl-D-erythritol2,4-cyclodiphosphate$BIGG:M_2mecdp_c"
25,2-Oxobutanoate$BIGG:M_2obut_c
26,2-Octaprenyl-6-hydroxyphenol$BIGG:M_2ohph_c
27,2-Octaprenylphenol$BIGG:M_2oph_c
28,3-(4-Hydroxyphenyl)pyruvate$BIGG:M_34hpp_c
29,3-Carboxy-2-hydroxy-4-methylpentanoate$BIGG:M_3c2hmp_c
30,3-Carboxy-3-hydroxy-4-methylpentanoate$BIGG:M_3c3hmp_c
31,3-Carboxy-4-methyl-2-oxopentanoate$BIGG:M_3c4mop_c
32,3-Dehydroshikimate$BIGG:M_3dhsk_c
33,(S)-3-Hydroxybutanoyl-CoA$BIGG:M_3hbcoa_c
34,(S)-3-Hydroxydecanoyl-CoA$BIGG:M_3hdcoa_c
35,(S)-3-Hydroxydodecanoyl-CoA$BIGG:M_3hddcoa_c
36,(S)-3-Hydroxyhexanoyl-CoA$BIGG:M_3hhcoa_c
37,(S)-3-Hydroxyhexadecanoyl-CoA$BIGG:M_3hhdcoa_c
38,(R)-3-Hydroxytetradecanoyl-[acyl-carrierprotein]$BIGG:M_3hmrsACP_c
39,(S)-3-Hydroxyoctanoyl-CoA$BIGG:M_3hocoa_c
40,(S)-3-Hydroxytetradecanoyl-CoA$BIGG:M_3htdcoa_c
41,3-Methyl-2-oxobutanoate$BIGG:M_3mob_c
42,(S)-3-Methyl-2-oxopentanoate$BIGG:M_3mop_c
43,3-Oxodecanoyl-CoA$BIGG:M_3odcoa_c
44,3-Oxododecanoyl-CoA$BIGG:M_3oddcoa_c
45,3-Oxohexanoyl-CoA$BIGG:M_3ohcoa_c
46,3-Oxohexadecanoyl-CoA$BIGG:M_3ohdcoa_c
47,3-Oxotetradecanoyl-[acyl-carrierprotein]$BIGG:M_3omrsACP_c
48,3-Oxooctanoyl-CoA$BIGG:M_3oocoa_c
49,3-Octaprenyl-4-hydroxybenzoate$BIGG:M_3ophb_c
50,3-Oxotetradecanoyl-CoA$BIGG:M_3otdcoa_c
51,3-Phospho-D-glycerate$BIGG:M_3pg_c
52,3-Phosphohydroxypyruvate$BIGG:M_3php_c
53,5-O-(1-Carboxyvinyl)-3-phosphoshikimate$BIGG:M_3psme_c
54,4-amino-4-deoxychorismate$BIGG:M_4adcho_c
55,4-Amino-2-methyl-5-phosphomethylpyrimidine$BIGG:M_4ampm_c
56,4-(cytidine5#-diphospho)-2-C-methyl-D-erythritol$BIGG:M_4c2me_c
57,p-Cresol$BIGG:M_4crsol_c
58,[4Fe-4S]iron-sulfurcluster$BIGG:M_4fe4s_c
59,4-Methyl-2-oxopentanoate$BIGG:M_4mop_c
60,4-Methyl-5-(2-phosphoethyl)-thiazole$BIGG:M_4mpetz_c
61,4-Phospho-L-aspartate$BIGG:M_4pasp_c
62,4-Phospho-D-erythronate$BIGG:M_4per_c
63,D-4#-Phosphopantothenate$BIGG:M_4ppan_c
64,N-((R)-4-Phosphopantothenoyl)-L-cysteine$BIGG:M_4ppcys_c
65,4-(1-D-Ribitylamino)-5-aminouracil$BIGG:M_4r5au_c
66,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate$BIGG:M_5aizc_c
67,5-Amino-6-(5#-phosphoribitylamino)uracil$BIGG:M_5aprbu_c
68,5-Amino-6-(5#-phosphoribosylamino)uracil$BIGG:M_5apru_c
69,5-phosphoribosyl-5-carboxyaminoimidazole$BIGG:M_5caiz_c
70,5-Methyltetrahydrofolate$BIGG:M_5mthf_c
71,6-hydroxymethyldihydropterin$BIGG:M_6hmhpt_c
72,6-hydroxymethyl-dihydropterinpyrophosphate$BIGG:M_6hmhptpp_c
73,6-Phospho-D-gluconate$BIGG:M_6pgc_c
74,"6-phospho-D-glucono-1,5-lactone$BIGG:M_6pgl_c"
75,8-Amino-7-oxononanoate$BIGG:M_8aonn_c
76,acylcarrierprotein$BIGG:M_ACP_c
77,Acetoacetyl-CoA$BIGG:M_aacoa_c
78,Acetate$BIGG:M_ac_c
79,Acetaldehyde$BIGG:M_acald_c
80,Acetyl-CoA$BIGG:M_accoa_c
81,N-Acetyl-L-glutamyl5-phosphate$BIGG:M_acg5p_c
82,N-Acetyl-L-glutamate5-semialdehyde$BIGG:M_acg5sa_c
83,N-Acetyl-D-glucosamine1-phosphate$BIGG:M_acgam1p_c
84,N-Acetyl-L-glutamate$BIGG:M_acglu_c
85,N2-Acetyl-L-ornithine$BIGG:M_acorn_c
86,O-Acetyl-L-serine$BIGG:M_acser_c
87,Acetylphosphate$BIGG:M_actp_c
88,Adenine$BIGG:M_ade_c
89,Adenosine$BIGG:M_adn_c
90,S-Adenosyl-L-homocysteine$BIGG:M_ahcys_c
91,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridinetriphosphate$BIGG:M_ahdt_c"
92,5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide$BIGG:M_aicar_c
93,5-amino-1-(5-phospho-D-ribosyl)imidazole$BIGG:M_air_c
94,2-Oxoglutarate$BIGG:M_akg_c
95,beta-Alanine$BIGG:M_ala_DASH_B_c
96,D-Alanine$BIGG:M_ala_DASH_D_c
97,L-Alanine$BIGG:M_ala_DASH_L_c
98,D-Alanyl-D-alanine$BIGG:M_alaala_c
99,(S)-2-Acetolactate$BIGG:M_alac_DASH_S_c
100,S-Adenosyl-L-methionine$BIGG:M_amet_c
101,S-Adenosyl-4-methylthio-2-oxobutanoate$BIGG:M_amob_c
102,AMP$BIGG:M_amp_c
103,Anthranilate$BIGG:M_anth_c
104,Adenosine5#-phosphosulfate$BIGG:M_aps_c
105,N(omega)-(L-Arginino)succinate$BIGG:M_argsuc_c
106,L-Asparagine$BIGG:M_asn_DASH_L_c
107,L-Aspartate$BIGG:M_asp_DASH_L_c
108,L-Aspartate4-semialdehyde$BIGG:M_aspsa_c
109,Crotonoyl-CoA$BIGG:M_b2coa_c
110,bis-molybdenumcofactor$BIGG:M_bmoco_c
111,bis-molybdopterinmono-guaninedinucleotide$BIGG:M_bmoco1gdp_c
112,bis-molybdopteringuaninedinucleotide$BIGG:M_bmocogdp_c
113,Butanoyl-CoA$BIGG:M_btcoa_c
114,Biotin$BIGG:M_btn_c
115,Calcium$BIGG:M_ca2_c
116,N-Carbamoyl-L-aspartate$BIGG:M_cbasp_c
117,Carbamoylphosphate$BIGG:M_cbp_c
118,CDP$BIGG:M_cdp_c
119,"CDP-1,2-dihexadec-9-enoylglycerol$BIGG:M_cdpdhdec9eg_c"
120,"CDP-1,2-dihexadecanoylglycerol$BIGG:M_cdpdhdecg_c"
121,chorismate$BIGG:M_chor_c
122,Citrate$BIGG:M_cit_c
123,L-Citrulline$BIGG:M_citr_DASH_L_c
124,CMP-3-deoxy-D-manno-octulosonate$BIGG:M_ckdo_c
125,CMP$BIGG:M_cmp_c
126,CO2$BIGG:M_co2_c
127,CoenzymeA$BIGG:M_coa_c
128,cyclicpyranopterinmonophosphate$BIGG:M_cpmp_c
129,CoproporphyrinogenIII$BIGG:M_cpppg3_c
130,CTP$BIGG:M_ctp_c
131,Cu2+$BIGG:M_cu2_c
132,L-Cysteine$BIGG:M_cys_DASH_L_c
